"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","most_sensitive","least_sensitive"
"130",753586,"LCLC-103H","lung_NSCLC","lung_NSCLC_large cell",5.7128687,0,0
"131",753588,"LU-134-A","lung_SCLC","lung_small_cell_carcinoma",5.42215083,1,0
"132",753589,"LU-165","lung_SCLC","lung_small_cell_carcinoma",6.50734991,0,1
"133",753592,"LXF-289","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.20132502,1,0
"134",753594,"MS-1","lung_SCLC","lung_small_cell_carcinoma",5.20218103,1,0
"135",753595,"MZ1-PC","pancreas","pancreas",6.18464984,0,1
"136",753596,"MZ7-mel","skin","melanoma",5.77483477,0,0
"137",753599,"NCI-H1304","lung_SCLC","lung_small_cell_carcinoma",5.87165966,0,0
"138",753600,"NCI-H1563","lung_NSCLC","lung_NSCLC_adenocarcinoma",6.41909357,0,1
"139",753604,"NCI-H292","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.04947396,1,0
"140",753607,"NCI-H835","lung_NSCLC","lung_NSCLC_carcinoid",5.34324256,1,0
"141",753608,"PC-14","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.48533673,1,0
"142",753610,"SBC-3","lung_SCLC","lung_small_cell_carcinoma",5.55407925,0,0
"143",753614,"TE-15","aero_dig_tract","oesophagus",5.25867598,1,0
"144",753616,"BE2-M17","neuroblastoma","neuroblastoma",5.9531398,0,0
"145",753618,"KELLY","neuroblastoma","neuroblastoma",5.56394561,0,0
"146",753620,"SIMA","neuroblastoma","neuroblastoma",6.27010122,0,1
"147",753621,"TE-1","aero_dig_tract","oesophagus",6.44391704,0,1
"148",753622,"TE-10","aero_dig_tract","oesophagus",5.81802286,0,0
"149",753623,"TE-8","aero_dig_tract","oesophagus",5.95014307,0,0
"150",905933,"OVCAR-3","urogenital_system","ovary",6.25160219,0,1
"151",905934,"PC-3","urogenital_system","prostate",6.3848822,0,1
"152",905935,"DU-145","urogenital_system","prostate",5.99661686,0,0
"153",905936,"HCT-116","large_intestine","large_intestine",5.57618135,0,0
"154",905937,"HCT-15","large_intestine","large_intestine",5.9987041,0,0
"155",905939,"HT-29","large_intestine","large_intestine",5.89963023,0,0
"156",905941,"NCI-H226","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",6.12291497,0,1
"157",905942,"NCI-H23","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.92054283,0,0
"158",905944,"NCI-H522","lung_NSCLC","lung_NSCLC_adenocarcinoma",6.14901365,0,1
"159",905945,"T47D","breast","breast",6.62737056,0,1
"160",905946,"MCF7","breast","breast",5.25740344,1,0
"161",905947,"786-0","kidney","kidney",4.36703317,1,0
"162",905948,"A498","kidney","kidney",6.84734624,0,1
"163",905949,"A549","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.39133073,1,0
"164",905950,"ACHN","kidney","kidney",5.59772354,0,0
"165",905951,"BT-549","breast","breast",5.06242618,1,0
"166",905954,"SK-MEL-28","skin","melanoma",5.2601283,1,0
"167",905955,"SK-MEL-2","skin","melanoma",5.56540663,0,0
"168",905956,"SK-MEL-5","skin","melanoma",6.01862224,0,1
"169",905957,"Hs-578-T","breast","breast",5.92579769,0,0
"170",905959,"SK-OV-3","urogenital_system","ovary",5.8375593,0,0
"171",905960,"MDA-MB-231","breast","breast",4.54257949,1,0
"172",905961,"COLO-205","large_intestine","large_intestine",5.48073623,1,0
"173",905962,"SW620","large_intestine","large_intestine",4.11938864,1,0
"174",905963,"CAKI-1","kidney","kidney",5.76631911,0,0
